date,year,month,day,xs,ys
20120721,2012,07,21,307610.10460934485,3387635.197777
20120721,2012,07,21,307599.57175547106,3387610.5426609484
20120721,2012,07,21,307587.67571101204,3387586.907486055
20120721,2012,07,21,307572.3962079064,3387566.410591645
20120721,2012,07,21,307556.0967636436,3387546.786531495
20120721,2012,07,21,307541.2389669779,3387528.378555032
20120721,2012,07,21,307526.0967636436,3387511.43184042
20120721,2012,07,21,307510.71918927284,3387496.0934945545
20120721,2012,07,21,307495.2533507635,3387482.4125530706
20120721,2012,07,21,307477.2376593611,3387470.339980334
20120721,2012,07,21,307458.59431186196,3387459.7286694483
20120721,2012,07,21,307439.66655769385,3387450.3334422503
20120721,2012,07,21,307418.1889506328,3387443.4880679445
20120721,2012,07,21,307396.2798300052,3387436.142530187
20120721,2012,07,21,307371.77182085183,3387430.562275202
